,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,position,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
175,299098,1999-02-11,"Espoo, FIN",Finland,180.0,91.0,L,New Jersey Devils,False,2017,6,160,New Jersey Devils,aarne-talvitie,,,,,2017,2020-06-03,Aarne Talvitie,F,0.11,7,38.0
176,269038,1998-03-13,"Toronto, ON, CAN",Canada,185.0,93.0,L,Montréal Canadiens,True,2016,6,160,Montréal Canadiens,michael-pezzetta,,,,,2016,2020-06-03,Michael Pezzetta,F,0.03,3,8.9
177,349951,2000-10-12,"Karlstad, SWE",Sweden,199.0,96.0,L,New York Rangers,False,2019,6,161,New York Rangers,adam-edstrom,,,,,2019,2020-06-03,Adam Edström,F,0.06,16,9.4
178,353810,1998-05-08,"Boulder, CO, USA",USA,188.0,88.0,R,Colorado Avalanche,False,2016,6,161,Colorado Avalanche,nate-clurman,,,,,2016,2020-06-03,Nate Clurman,D,0.01,4,17.6
179,287497,2000-07-20,"Regina, SK, CAN",Canada,183.0,88.0,R,,,2018,6,161,Washington Capitals,alex-kannok-leipert,,,,,2018,2020-06-03,Alex Kannok-Leipert,D,0.11,17,19.1
180,375487,2000-11-16,"St. Paul, MN, USA",USA,195.0,95.0,R,Anaheim Ducks,False,2019,6,163,Anaheim Ducks,william-francis,,,,,2019,2020-06-03,William Francis,D,0.09,14,11.7
181,201702,1999-06-01,"Oakbank, MB, CAN",Canada,185.0,81.0,L,,,2017,6,163,Dallas Stars,brett-davis,,,,,2017,2020-06-03,Brett Davis,F,0.16,6,28.0
182,291923,2000-02-17,"Nashville, TN, USA",Sweden,189.0,87.0,L,New York Rangers,False,2018,6,163,New York Rangers,simon-kjellberg,,,,,2018,2020-06-03,Simon Kjellberg,D,0.07,10,16.5
183,273694,1999-05-04,"Stoney Creek, ON, CAN",Canada,193.0,91.0,R,,,2017,6,164,Detroit Red Wings,reilly-webb,,,,,2017,2020-06-03,Reilly Webb,D,0.12,6,2.3
184,240028,1997-12-02,"Strathroy, ON, CAN",Canada,185.0,83.0,L,,,2016,6,164,Carolina Hurricanes,noah-carroll,,,,,2016,2020-06-03,Noah Carroll,D,0.09,6,12.8
185,392594,2000-10-12,"St. Petersburg, RUS",Russia,185.0,83.0,L,San Jose Sharks,True,2019,6,164,San Jose Sharks,timur-ibragimov,,,,,2019,2020-06-03,Timur Ibragimov,F,0.06,31,34.1
186,375367,2000-01-13,"New Hampton, NH, USA",USA                                                                                             /  Canada,193.0,86.0,R,Edmonton Oilers,False,2018,6,164,Edmonton Oilers,michael-kesselring,,,,,2018,2020-06-03,Michael Kesselring,D,0.06,10,15.5
187,450506,2001-06-03,"Novosibirsk, RUS",Russia,178.0,72.0,L,Philadelphia Flyers,False,2019,6,165,Philadelphia Flyers,yegor-serdyuk,,,,,2019,2020-06-03,Yegor Serdyuk,F,0.23,25,66.4
188,212666,1998-03-09,"Karlstad, SWE",Sweden,176.0,85.0,R,Boston Bruins,True,2016,6,165,Boston Bruins,oskar-steen,,,,,2016,2020-06-03,Oskar Steen,F,0.06,3,32.6
189,246437,1999-11-20,"Stockholm, SWE",Sweden,191.0,93.0,L,Los Angeles Kings,True,2018,6,165,Los Angeles Kings,johan-sodergran,,,,,2018,2020-06-03,Johan Södergran,F,0.11,5,25.3
190,201536,1999-01-14,"Montréal, QC, CAN",Canada,183.0,83.0,L,New York Islanders,True,2017,6,165,New York Islanders,arnaud-durandeau,,,,,2017,2020-06-03,Arnaud Durandeau,F,0.08,6,19.0
191,381692,2001-04-20,"Laurel Hollow, NY, USA",USA,180.0,76.0,L,Minnesota Wild,False,2019,6,166,Minnesota Wild,marshall-warren,,,,,2019,2020-06-03,Marshall Warren,D,0.2,18,40.4
192,247160,1998-03-23,"Victoria, BC, CAN",Canada,195.0,90.0,L,,,2017,6,166,Carolina Hurricanes,brendan-de-jong,,,,,2016,2020-06-03,Brendan De Jong,D,0.14,6,2.8
193,274219,2000-04-03,"Manglerud, NOR",Norway,179.0,85.0,L,Calgary Flames,True,2018,6,167,Calgary Flames,mathias-emilio-pettersen,,,,,2018,2020-06-03,Mathias Emilio Pettersen,F,0.1,20,24.9
194,285046,2000-01-12,"Foxwarren, MB, CAN",Canada,185.0,85.0,R,Dallas Stars,True,2018,6,168,Dallas Stars,dawson-barteaux,,,,,2018,2020-06-03,Dawson Barteaux,D,0.12,12,30.9
195,286948,1999-01-01,"Ottawa, ON, CAN",Canada,178.0,82.0,R,,,2019,6,168,Florida Panthers,greg-meireles,,,,,2017,2020-06-03,Greg Meireles,F,0.2,6,37.8
196,265290,1999-08-24,"Oskarshamn, SWE",Sweden,181.0,80.0,L,Philadelphia Flyers,False,2017,6,168,Philadelphia Flyers,olle-lycksell,,,,,2017,2020-06-03,Olle Lycksell,F,0.19,7,49.4
197,382160,2000-06-27,"Montréal, QC, CAN",Canada,188.0,82.0,R,St. Louis Blues,True,2018,6,169,St. Louis Blues,mathias-laferriere,,,,,2018,2020-06-03,Mathias Laferrière,F,0.17,19,40.2
198,380612,1998-06-15,"Elk River, MN, USA",USA,188.0,87.0,R,Tampa Bay Lightning,False,2017,6,169,Tampa Bay Lightning,nicklaus-perbix,,,,,2016,2020-06-03,Nicklaus Perbix,D,0.03,4,23.0
199,224910,1999-04-30,"Kristianstad, SWE",Sweden                                                                                             /  USA,183.0,87.0,R,Toronto Maple Leafs,True,2017,1,17,Toronto Maple Leafs,timothy-liljegren,,,,,2017,2020-06-03,Timothy Liljegren,D,0.75,6,78.6
200,281814,2000-03-24,"Lloydminster, SK, CAN",Canada,180.0,81.0,L,New Jersey Devils,True,2018,1,17,New Jersey Devils,ty-smith,,,,,2018,2020-06-03,Ty Smith,D,0.83,11,146.4
201,322178,2001-01-26,"Calgary, AB, CAN",Canada,180.0,82.0,L,Vegas Golden Knights,True,2019,1,17,Vegas Golden Knights,peyton-krebs,,,,,2019,2020-06-03,Peyton Krebs,F,0.65,18,96.0
202,372023,1998-02-26,-,Russia,191.0,92.0,L,Montréal Canadiens,True,2019,6,170,Montréal Canadiens,arsen-khisamutdinov,,,,,2016,2020-06-03,Arsen Khisamutdinov,F,0.01,4,6.8
203,233489,1998-04-24,"Brighton, MI, USA",USA,175.0,88.0,L,New York Islanders,False,2016,6,170,New York Islanders,collin-adams,,,,,2016,2020-06-03,Collin Adams,F,0.04,4,12.8
204,307537,1999-04-07,"Gatineau, QC, CAN",Canada,191.0,82.0,R,,,2017,6,171,Calgary Flames,d-artagnan-joly,,,,,2017,2020-06-03,D'Artagnan Joly,F,0.15,6,21.1
205,258430,2000-01-07,"Surrey, BC, CAN",Canada,185.0,86.0,L,Colorado Avalanche,False,2019,6,171,Colorado Avalanche,luka-burzan,,,,,2018,2020-06-03,Luka Burzan,F,0.14,12,34.1
